zaman,sembol,duygu_skor,yorum,haber_sayisi,makro_skor
28.03.2026 00:29,AKBNK.IS,0.75,POZİTİF,2,0.333
28.03.2026 00:29,GARAN.IS,0.593,POZİTİF,10,0.333
28.03.2026 00:29,YKBNK.IS,0.767,POZİTİF,6,0.333
28.03.2026 00:29,EKGYO.IS,0.0,NÖTR,0,0.333
28.03.2026 00:29,PGSUS.IS,0.0,NÖTR,0,0.333
28.03.2026 00:29,TCELL.IS,0.693,POZİTİF,10,0.333
28.03.2026 00:29,SISE.IS,1.0,POZİTİF,1,0.333
28.03.2026 00:29,FROTO.IS,0.667,POZİTİF,5,0.333
28.03.2026 00:29,THYAO.IS,0.3,POZİTİF,10,0.333
28.03.2026 00:29,ASELS.IS,0.0,NÖTR,0,0.333
